team_id,player_id,player_name,position,minutes_played,goals_scored,minutes_per_goal
46,1098,P. Daka,Attacker,721,1,721.0
46,18788,J. Vardy,Attacker,2840,9,315.6
46,20079,H. Souttar,Defender,0,0,
46,18786,W. Ndidi,Midfielder,2336,0,
47,31354,G. Vicario,Goalkeeper,2160,0,
47,164,B. Davies,Defender,1330,0,
47,19235,D. Spence,Defender,1788,1,1788.0
47,30776,C. Romero,Defender,1421,1,1421.0
47,152849,M. van de Ven,Defender,1018,0,
47,25287,K. Danso,Defender,842,0,
47,162498,R. Drăgușin,Defender,1253,0,
47,204039,D. Udogie,Defender,1933,0,
47,30435,D. Kulusevski,Midfielder,2390,7,341.4
47,18968,Y. Bissouma,Midfielder,1407,2,703.5
47,347316,L. Bergvall,Midfielder,1202,0,
47,863,R. Bentancur,Midfielder,1654,2,827.0
47,18784,J. Maddison,Midfielder,1817,9,201.9
47,336564,W. Odobert,Attacker,849,1,849.0
47,129711,B. Johnson,Attacker,2178,11,198.0
47,18883,D. Solanke,Attacker,2205,9,245.0
47,2413,Richarlison,Attacker,514,4,128.5
47,18932,F. Forster,Goalkeeper,630,0,
47,1166,T. Werner,Attacker,508,0,
47,186,Son Heung-Min,Attacker,2116,7,302.3
47,380690,M. Moore,Attacker,362,0,
47,162552,D. Scarlett,Attacker,0,0,
48,19130,K. Phillips,Midfielder,0,0,
48,18823,B. Johnson,Defender,0,0,
48,665,M. Cornet,Attacker,0,0,
48,129643,E. Ferguson,Attacker,150,0,
48,15911,M. Kudus,Midfielder,2604,5,520.8
48,2997,Ł. Fabiański,Goalkeeper,1160,0,
48,2284,Emerson,Defender,2132,2,1066.0
48,1445,K. Mavropanos,Defender,2038,0,
48,138,J. Todibo,Defender,1855,0,
48,1646,Lucas Paquetá,Midfielder,2384,4,596.0
48,1243,T. Souček,Midfielder,2572,9,285.8
48,2476,G. Rodríguez,Midfielder,1172,0,
48,19428,J. Bowen,Attacker,2979,13,229.2
48,25391,N. Füllkrug,Attacker,785,3,261.7
48,37724,C. Summerville,Attacker,779,1,779.0
48,18813,A. Cresswell,Defender,822,0,
48,19733,F. Downes,Midfielder,0,0,
48,18819,M. Antonio,Attacker,844,1,844.0
48,930,Carlos Soler,Midfielder,1403,1,1403.0
48,1231,V. Coufal,Defender,1062,0,
48,2938,J. Ward-Prowse,Midfielder,16,0,
48,2869,E. Álvarez,Midfielder,1783,0,
49,284428,O. Hutchinson,Attacker,0,0,
49,284492,L. Hall,Defender,0,0,
49,2273,Kepa,Goalkeeper,0,0,
49,136723,N. Madueke,Attacker,2049,7,292.7
49,422780,A. Anselmino,Defender,0,0,
49,19545,R. James,Defender,1063,1,1063.0
49,2933,B. Chilwell,Defender,262,1,262.0
49,22094,W. Fofana,Defender,1176,0,
49,161907,M. Gusto,Defender,1855,0,
49,47380,Marc Cucurella,Defender,2990,5,598.0
49,152953,L. Colwill,Defender,3150,2,1575.0
49,95,B. Badiashile,Defender,333,0,
49,63577,M. Mudryk,Midfielder,158,0,
49,5996,E. Fernández,Midfielder,2948,6,491.3
49,138935,C. Chukwuemeka,Midfielder,0,0,
49,152982,C. Palmer,Midfielder,3199,15,213.3
49,282125,R. Lavia,Midfielder,803,0,
49,1864,Pedro Neto,Attacker,2267,4,566.8
49,392270,Marc Guiu,Attacker,71,0,
49,269,C. Nkunku,Attacker,912,3,304.0
49,10329,João Pedro,Attacker,1953,10,195.3
49,284324,A. Garnacho,Attacker,2195,6,365.8
49,283058,N. Jackson,Attacker,2238,10,223.8
49,148099,K. Dewsbury-Hall,Midfielder,256,0,
49,18,J. Sancho,Attacker,1764,3,588.0
49,270508,L. Ugochukwu,Midfielder,0,0,
49,138822,A. Broja,Attacker,0,0,
50,144729,T. Harwood-Bellis,Defender,0,0,
50,161948,L. Delap,Attacker,0,0,
50,626,J. Stones,Defender,545,2,272.5
50,21138,R. Aït-Nouri,Defender,3128,4,782.0
50,18861,N. Aké,Defender,688,0,
50,5,M. Akanji,Defender,2020,0,
