fixture_id,league_id,season,round,home_team_id,away_team_id,home_attack,home_defense,away_attack,away_defense,home_goals_scored_lastN,home_goals_conceded_lastN,away_goals_scored_lastN,away_goals_conceded_lastN,home_days_since_last_match,away_days_since_last_match,home_motivation,away_motivation,is_knockout,home_goals,away_goals,home_attack_after,home_defense_after,away_attack_after,away_defense_after,home_goals_scored_lastN_after,home_goals_conceded_lastN_after,away_goals_scored_lastN_after,away_goals_conceded_lastN_after,home_motivation_raw,away_motivation_raw
836206,98,2022,Regular Season - 2,280,283,1.0,1.0,1.0,1.0,0.29585798816568043,0.29585798816568043,0.29585798816568043,0.29585798816568043,6.979166666666667,6.979166666666667,0.7642226404169079,0.9395990156340475,False,1.0,2.0,1.0,1.5,1.5,1.0,0.6377622377622377,1.0832167832167832,1.0832167832167832,0.6377622377622377,1.5,2.0
836207,98,2022,Regular Season - 2,291,302,2.0,2.0,1.0,0.0,1.0650887573964496,1.0650887573964496,0.6410256410256409,0.0,7.0,7.0,0.9399790098436596,0.599196583671106,False,1.0,1.0,1.5,1.5,1.0,0.5,7.6923076923076925,0.918349358974359,0.6427083333333332,7.0,2.0,1.3333
836212,98,2022,Regular Season - 2,295,284,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1834319526627217,7.041666666666667,7.0,0.7642226404169079,0.7643674001158077,False,1.0,1.0,0.5,0.5,0.5,1.5,7.0,7.0,7.0,7.769230769230769,1.5,1.5
836209,98,2022,Regular Season - 2,290,294,3.0,1.0,1.5,2.0,1.1094674556213018,0.3698224852071006,0.85,28.0,7.041666666666667,3.0416666666666665,0.9399790098436596,0.9395990156340475,False,0.0,2.0,1.5,1.5,1.6666666666666667,1.3333333333333333,0.7211538461538461,0.8237179487179488,1.1358333333333333,18.2,2.0,2.0
836210,98,2022,Regular Season - 2,287,293,1.0,1.5,1.0,3.0,14.0,14.416666666666666,0.3698224852071006,1.1094674556213018,2.9583333333333335,7.041666666666667,0.7642226404169079,0.7643674001158077,False,0.0,1.0,0.6666666666666666,1.3333333333333333,1.0,1.5,9.1,9.658611111111112,0.5281623931623931,0.7211538461538461,1.5,1.5
836208,98,2022,Regular Season - 2,279,282,1.0,1.0,0.0,0.0,0.29585798816568043,0.29585798816568043,0.0,0.0,7.041666666666667,7.041666666666667,0.9399790098436596,0.9395990156340475,False,1.0,1.0,1.0,1.0,0.5,0.5,7.1923076923076925,7.1923076923076925,7.0,7.0,2.0,2.0
836213,98,2022,Regular Season - 2,289,316,1.0,2.0,1.0,1.0,14.0,14.76923076923077,0.29585798816568043,0.29585798816568043,3.0,7.083333333333333,0.7642226404169079,0.9395990156340475,False,0.0,0.0,0.6666666666666666,1.3333333333333333,0.5,0.5,9.1,9.600000000000001,0.1923076923076923,0.1923076923076923,1.5,2.0
836214,98,2022,Regular Season - 2,281,296,2.0,0.0,3.0,2.0,1.1834319526627217,0.0,28.692307692307693,1.0423076923076922,8.0,4.041666666666667,0.7642226404169079,0.599196583671106,False,3.0,1.0,2.5,0.5,2.3333333333333335,2.3333333333333335,1.060897435897436,7.0,25.650000000000002,0.9691666666666665,1.5,1.3333
826723,73,2022,1st Round,13084,122,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,2.0,0.0,2.0,0.0,0.0,2.0,1.3226592412112774,0.0,0.0,1.3226592412112774,2.0,2.0
826720,73,2022,1st Round,2216,132,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,3.0,2.0,3.0,2.0,2.0,3.0,1.972386587771203,1.3149243918474687,1.3149243918474687,1.972386587771203,2.0,2.0
